,Height [m],Temperature [K],Pressure [Pa],Density [kg/m^3],Speed of Sound [m/s],Dynamic Viscosity [kg/(m*s)]
0,0.0,288.15,101325.0,1.225,340.2626485525556,1.7892976260350732e-05
1,100.0,287.5,100129.21880180092,1.2132801128432682,339.878654816686,1.786159746407569e-05
2,200.0,286.84999999999997,98944.89080166376,1.2016462058485666,339.49422675503627,1.783018456788784e-05
3,300.0,286.2,97771.93188126804,1.1900978409310234,339.1093628904988,1.7798737481917384e-05
4,400.0,285.54999999999995,96610.25835137522,1.1786345812516548,338.7240617375742,1.7767256115969684e-05
5,500.0,284.9,95459.7869506081,1.1672559912166502,338.33832180230485,1.773574037952414e-05
6,600.0,284.25,94320.4348442293,1.1559616364766396,337.9521415822069,1.7704190181732984e-05
7,700.0,283.59999999999997,93192.11962292092,1.1447510839259645,337.5655195662021,1.767260543142015e-05
8,800.0,282.95,92074.75930156556,1.133623901701954,337.1784542345492,1.7640986037080115e-05
9,900.0,282.29999999999995,90968.27231802691,1.1225796591841886,336.7909440587736,1.7609331906876752e-05
10,1000.0,281.65,89872.57753193217,1.1116179269937718,336.4029875015975,1.7577642948642136e-05
11,1100.0,281.0,88787.59422345406,1.1007382769925937,336.01458301686847,1.7545919069875447e-05
12,1200.0,280.34999999999997,87713.24209209465,1.0899402822825992,335.62572904948746,1.7514160177741752e-05
13,1300.0,279.7,86649.44125546947,1.079223517205053,335.23642403533654,1.748236617907094e-05
14,1400.0,279.04999999999995,85596.11224809168,1.0685875573397983,334.84666640120514,1.745053698035649e-05
15,1500.0,278.4,84553.17602015838,1.058031979504524,334.45645456471607,1.7418672487754365e-05
16,1600.0,277.75,83520.55393633625,1.0475563617540222,334.0657869342504,1.7386772607081867e-05
17,1700.0,277.09999999999997,82498.16777454855,1.0371602833794449,333.6746619088719,1.7354837243816485e-05
18,1800.0,276.45,81485.93972476339,1.0268433249075701,333.2830778782505,1.732286630309478e-05
19,1900.0,275.79999999999995,80483.79238778121,1.0166050681000482,332.89103322258467,1.7290859689711192e-05
20,2000.0,275.15,79491.6487740248,1.0064450959526658,332.49852631252367,1.725881730811697e-05
21,2100.0,274.5,78509.43230232858,0.9963629926945954,332.1055555090881,1.722673906241901e-05
22,2200.0,273.84999999999997,77537.06679872936,0.9863583437876469,331.7121191635904,1.71946248563787e-05
23,2300.0,273.2,76574.47649525793,0.9764307359255243,331.31821561755396,1.7162474593410865e-05
24,2400.0,272.55,75621.58602873086,0.9665797570330716,330.92384320263176,1.713028817658258e-05
25,2500.0,271.9,74678.32043954318,0.9568049962655208,330.5290002405235,1.7098065508612083e-05
26,2600.0,271.25,73744.60517046244,0.9471060440077441,330.13368504289286,1.706580649186765e-05
27,2700.0,270.59999999999997,72820.36606542241,0.9374824918734949,329.7378959112828,1.7033511028366495e-05
28,2800.0,269.95,71905.52936831868,0.9279339327046567,329.3416311370307,1.7001179019773674e-05
29,2900.0,269.3,71000.02172180377,0.9184599605704823,328.94488900118205,1.6968810367400954e-05
30,3000.0,268.65,70103.77016608418,0.9090601707668394,328.54766777440375,1.6936404972205745e-05
31,3100.0,268.0,69216.70213771757,0.8997341598154514,328.14996571689596,1.690396273478999e-05
32,3200.0,267.34999999999997,68338.74546841033,0.890481525463132,327.75178107830317,1.6871483555399107e-05
33,3300.0,266.7,67469.82838381696,0.8813018666810303,327.3531120976246,1.6838967333920885e-05
34,3400.0,266.05,66609.87950233911,0.8721947836638619,326.953957003123,1.680641396988442e-05
35,3500.0,265.4,65758.82783392585,0.8631598778291454,326.55431401223285,1.6773823362459037e-05
36,3600.0,264.75,64916.60277887499,0.8541967518164384,326.15418133146784,1.6741195410453248e-05
37,3700.0,264.09999999999997,64083.1341266344,0.845305009486567,325.75355715632634,1.6708530012313684e-05
38,3800.0,263.45,63258.35205460496,0.8364842559208598,325.35243967119715,1.667582706612406e-05
39,3900.0,262.8,62442.18712694331,0.827734097420374,324.95082704926295,1.664308646960411e-05
40,4000.0,262.15,61634.57029336624,0.8190541415051262,324.5487174524034,1.6610308120108582e-05
41,4100.0,261.5,60835.43288795544,0.8104439969133207,324.14610903109724,1.65774919146262e-05
42,4200.0,260.84999999999997,60044.70662796266,0.8019032736005686,323.74299992432265,1.6544637749778632e-05
43,4300.0,260.2,59262.323612616674,0.7934315827391211,323.33938825945717,1.6511745521819526e-05
